file_path,labels,width,height,format_type
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1.jpg,cat,300,280,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.10.jpg,cat,489,499,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.100.jpg,cat,403,499,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1000.jpg,cat,150,149,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1001.jpg,cat,336,499,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1002.jpg,cat,379,407,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1003.jpg,cat,259,269,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1004.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1005.jpg,cat,500,333,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1006.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1007.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1008.jpg,cat,328,368,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1009.jpg,cat,353,400,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.101.jpg,cat,296,200,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1010.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1011.jpg,cat,500,273,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1012.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1013.jpg,cat,500,480,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1014.jpg,cat,344,335,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1015.jpg,cat,499,377,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1016.jpg,cat,288,287,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1017.jpg,cat,238,240,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1018.jpg,cat,499,375,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1019.jpg,cat,500,374,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.102.jpg,cat,349,343,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1020.jpg,cat,271,360,JPG
c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1021.jpg,cat,358,499,JPG
