file_name,file_path,labels,width,height,format_type,mapped_labels,image_description
cat.1,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1.jpg,cat,300,280,jpg,Кот,Изображение cat.1 имеет разрешение 300x280.
cat.10,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.10.jpg,cat,489,499,jpg,Кот,Изображение cat.10 имеет разрешение 489x499.
cat.100,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.100.jpg,cat,403,499,jpg,Кот,Изображение cat.100 имеет разрешение 403x499.
cat.1000,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1000.jpg,cat,150,149,jpg,Кот,Изображение cat.1000 имеет разрешение 150x149.
cat.1001,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1001.jpg,cat,336,499,jpg,Кот,Изображение cat.1001 имеет разрешение 336x499.
cat.1002,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1002.jpg,cat,379,407,jpg,Кот,Изображение cat.1002 имеет разрешение 379x407.
cat.1003,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1003.jpg,cat,259,269,jpg,Кот,Изображение cat.1003 имеет разрешение 259x269.
cat.1004,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1004.jpg,cat,499,375,jpg,Кот,Изображение cat.1004 имеет разрешение 499x375.
cat.1005,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1005.jpg,cat,500,333,jpg,Кот,Изображение cat.1005 имеет разрешение 500x333.
cat.1006,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1006.jpg,cat,499,375,jpg,Кот,Изображение cat.1006 имеет разрешение 499x375.
cat.1007,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1007.jpg,cat,500,374,jpg,Кот,Изображение cat.1007 имеет разрешение 500x374.
cat.1008,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1008.jpg,cat,328,368,jpg,Кот,Изображение cat.1008 имеет разрешение 328x368.
cat.1009,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1009.jpg,cat,353,400,jpg,Кот,Изображение cat.1009 имеет разрешение 353x400.
cat.101,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.101.jpg,cat,296,200,jpg,Кот,Изображение cat.101 имеет разрешение 296x200.
cat.1010,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1010.jpg,cat,500,374,jpg,Кот,Изображение cat.1010 имеет разрешение 500x374.
cat.1011,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1011.jpg,cat,500,273,jpg,Кот,Изображение cat.1011 имеет разрешение 500x273.
cat.1012,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1012.jpg,cat,500,374,jpg,Кот,Изображение cat.1012 имеет разрешение 500x374.
cat.1013,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1013.jpg,cat,500,480,jpg,Кот,Изображение cat.1013 имеет разрешение 500x480.
cat.1014,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1014.jpg,cat,344,335,jpg,Кот,Изображение cat.1014 имеет разрешение 344x335.
cat.1015,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1015.jpg,cat,499,377,jpg,Кот,Изображение cat.1015 имеет разрешение 499x377.
cat.1016,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1016.jpg,cat,288,287,jpg,Кот,Изображение cat.1016 имеет разрешение 288x287.
cat.1017,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1017.jpg,cat,238,240,jpg,Кот,Изображение cat.1017 имеет разрешение 238x240.
cat.1018,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1018.jpg,cat,499,375,jpg,Кот,Изображение cat.1018 имеет разрешение 499x375.
cat.1019,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1019.jpg,cat,500,374,jpg,Кот,Изображение cat.1019 имеет разрешение 500x374.
cat.102,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.102.jpg,cat,349,343,jpg,Кот,Изображение cat.102 имеет разрешение 349x343.
cat.1020,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1020.jpg,cat,271,360,jpg,Кот,Изображение cat.1020 имеет разрешение 271x360.
cat.1021,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1021.jpg,cat,358,499,jpg,Кот,Изображение cat.1021 имеет разрешение 358x499.
cat.1022,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1022.jpg,cat,500,472,jpg,Кот,Изображение cat.1022 имеет разрешение 500x472.
cat.1023,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1023.jpg,cat,349,315,jpg,Кот,Изображение cat.1023 имеет разрешение 349x315.
cat.1024,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1024.jpg,cat,484,445,jpg,Кот,Изображение cat.1024 имеет разрешение 484x445.
cat.1025,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1025.jpg,cat,500,374,jpg,Кот,Изображение cat.1025 имеет разрешение 500x374.
cat.1026,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1026.jpg,cat,475,315,jpg,Кот,Изображение cat.1026 имеет разрешение 475x315.
cat.1027,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1027.jpg,cat,437,396,jpg,Кот,Изображение cat.1027 имеет разрешение 437x396.
cat.1028,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1028.jpg,cat,500,323,jpg,Кот,Изображение cat.1028 имеет разрешение 500x323.
cat.1029,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1029.jpg,cat,499,375,jpg,Кот,Изображение cat.1029 имеет разрешение 499x375.
cat.103,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.103.jpg,cat,500,386,jpg,Кот,Изображение cat.103 имеет разрешение 500x386.
cat.1030,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1030.jpg,cat,500,374,jpg,Кот,Изображение cat.1030 имеет разрешение 500x374.
cat.1031,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1031.jpg,cat,499,375,jpg,Кот,Изображение cat.1031 имеет разрешение 499x375.
cat.1032,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1032.jpg,cat,500,331,jpg,Кот,Изображение cat.1032 имеет разрешение 500x331.
cat.1033,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1033.jpg,cat,335,448,jpg,Кот,Изображение cat.1033 имеет разрешение 335x448.
cat.1034,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1034.jpg,cat,229,254,jpg,Кот,Изображение cat.1034 имеет разрешение 229x254.
cat.1035,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1035.jpg,cat,500,374,jpg,Кот,Изображение cat.1035 имеет разрешение 500x374.
cat.1036,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1036.jpg,cat,500,374,jpg,Кот,Изображение cat.1036 имеет разрешение 500x374.
cat.1037,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1037.jpg,cat,500,374,jpg,Кот,Изображение cat.1037 имеет разрешение 500x374.
cat.1038,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1038.jpg,cat,499,365,jpg,Кот,Изображение cat.1038 имеет разрешение 499x365.
cat.1039,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1039.jpg,cat,374,499,jpg,Кот,Изображение cat.1039 имеет разрешение 374x499.
cat.104,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.104.jpg,cat,253,399,jpg,Кот,Изображение cat.104 имеет разрешение 253x399.
cat.1040,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1040.jpg,cat,462,431,jpg,Кот,Изображение cat.1040 имеет разрешение 462x431.
cat.1041,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1041.jpg,cat,482,465,jpg,Кот,Изображение cat.1041 имеет разрешение 482x465.
cat.1042,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1042.jpg,cat,349,262,jpg,Кот,Изображение cat.1042 имеет разрешение 349x262.
cat.1043,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1043.jpg,cat,500,374,jpg,Кот,Изображение cat.1043 имеет разрешение 500x374.
cat.1044,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1044.jpg,cat,500,374,jpg,Кот,Изображение cat.1044 имеет разрешение 500x374.
cat.1045,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1045.jpg,cat,499,445,jpg,Кот,Изображение cat.1045 имеет разрешение 499x445.
cat.1046,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1046.jpg,cat,499,375,jpg,Кот,Изображение cat.1046 имеет разрешение 499x375.
cat.1047,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1047.jpg,cat,382,500,jpg,Кот,Изображение cat.1047 имеет разрешение 382x500.
cat.1048,c:\users\gdnjr5233_yolo\desktop\cats-dogs\train_set\cat.1048.jpg,cat,350,500,jpg,Кот,Изображение cat.1048 имеет разрешение 350x500.
